6:Sumwls_by_sumwl  4:SumwlsResp  12:SN_ErrDeltaSigma_cross  13:Total_pairs
1.202558e-02  1.294859e+02  3.550000e+02  2.633861e-02
1.689733e-02  1.603173e+02  9.040000e+02  8.092209e-03
2.374271e-02  9.898454e+01  1.994000e+03  1.005066e-02
3.336125e-02  6.285518e+01  4.191000e+03  9.122319e-03
4.687643e-02  3.031718e+01  8.261000e+03  8.778078e-03
6.586681e-02  4.023914e+01  1.602700e+04  9.072941e-03
9.255050e-02  3.336261e+01  3.165800e+04  1.126791e-02
1.300442e-01  1.583608e+01  6.164900e+04  1.121252e-02
1.827271e-01  1.076886e+01  1.216330e+05  1.007955e-02
2.567528e-01  9.554201e+00  2.402210e+05  9.812467e-03
      
