6:Sumwls_by_sumwl  4:SumwlsResp  12:SN_ErrDeltaSigma_cross  13:Total_pairs
1.202558e-02  1.688563e+02  3.510000e+02  4.633265e-03
1.689733e-02  1.638383e+02  8.550000e+02  6.141375e-03
2.374271e-02  9.751633e+01  1.925000e+03  1.148217e-02
3.336125e-02  4.830078e+01  4.070000e+03  3.863973e-03
4.687643e-02  5.231562e+01  8.059000e+03  7.773385e-03
6.586681e-02  1.641469e+01  1.594000e+04  9.141934e-03
9.255050e-02  3.138377e+01  3.168700e+04  1.161862e-02
1.300442e-01  1.462438e+01  6.127000e+04  1.139307e-02
1.827271e-01  8.929845e+00  1.209970e+05  9.382137e-03
2.567528e-01  7.036384e+00  2.374500e+05  1.103924e-02
      
