6:Sumwls_by_sumwl  4:SumwlsResp  12:SN_ErrDeltaSigma_cross  13:Total_pairs
1.182211e-02  -1.285050e+01  1.744000e+03  7.124503e-03
1.613033e-02  3.704624e+00  3.291000e+03  1.327787e-02
2.200857e-02  9.984152e+00  6.012000e+03  1.036696e-02
3.002897e-02  -6.919471e+00  1.120000e+04  7.714954e-03
4.097216e-02  1.002963e+01  2.133600e+04  1.085504e-02
5.590329e-02  4.235590e+00  3.926500e+04  1.008874e-02
7.627564e-02  -8.858074e-01  7.294600e+04  1.062822e-02
1.040721e-01  4.222748e+00  1.337280e+05  1.067723e-02
1.419982e-01  -2.216968e+00  2.479350e+05  1.056856e-02
1.937454e-01  1.967549e+00  4.586250e+05  9.991861e-03
2.643503e-01  2.413772e-01  8.427550e+05  1.030569e-02
3.606852e-01  -1.049756e+00  1.551359e+06  1.017255e-02
4.921266e-01  6.676580e-01  2.849739e+06  1.025986e-02
6.714681e-01  -1.667065e-01  5.229579e+06  1.032530e-02
9.161654e-01  6.301516e-01  9.540086e+06  1.032237e-02
1.250036e+00  1.602899e-01  1.742164e+07  1.034660e-02
1.705575e+00  2.623566e-01  3.175145e+07  1.026553e-02
2.327123e+00  8.543131e-02  5.761580e+07  1.029521e-02
3.175177e+00  4.848240e-02  1.041593e+08  1.028823e-02
4.332279e+00  -1.033860e-01  1.862342e+08  1.028794e-02
      
