6:Sumwls_by_sumwl  4:SumwlsResp  12:SN_ErrDeltaSigma_cross  13:Total_pairs
1.182211e-02  8.615902e+01  6.300000e+01  1.541676e-02
1.613033e-02  2.890577e+01  1.680000e+02  0.000000e+00
2.200857e-02  8.427640e+01  3.130000e+02  1.441307e-03
3.002897e-02  7.770756e+01  6.200000e+02  5.196765e-03
4.097216e-02  4.290305e+01  1.214000e+03  7.886667e-03
5.590329e-02  5.789707e+01  2.277000e+03  8.307073e-03
7.627564e-02  2.001863e+01  4.228000e+03  1.189416e-02
1.040721e-01  1.003679e+01  8.045000e+03  9.710921e-03
1.419982e-01  1.240858e+01  1.446700e+04  8.231014e-03
1.937454e-01  5.134699e+00  2.714600e+04  9.526152e-03
2.643503e-01  2.614328e+00  4.962100e+04  8.780317e-03
3.606852e-01  3.026312e+00  9.139100e+04  9.257873e-03
4.921266e-01  -9.993108e+00  1.662610e+05  1.068669e-02
6.714681e-01  6.230384e+00  3.066690e+05  9.867522e-03
9.161654e-01  2.775476e+01  5.705400e+05  1.010204e-02
1.250036e+00  2.845023e+01  1.058820e+06  1.028592e-02
1.705575e+00  2.412372e+01  1.938088e+06  1.031379e-02
2.327123e+00  1.558808e+01  3.564434e+06  1.022867e-02
3.175177e+00  1.002424e+01  6.589360e+06  1.039808e-02
4.332279e+00  7.703266e+00  1.200627e+07  1.035554e-02
      
